iter	RMSE
0	9.121093597
1	8.938454507
2	8.75278114
3	8.597177371
4	8.419383637
5	8.2546
6	8.094783793
7	7.939037875
8	7.797456141
9	7.650014187
10	7.512361342
11	7.368524256
12	7.228798865
13	7.086847343
14	6.971432337
15	6.842171236
16	6.738017537
17	6.619045727
18	6.506504688
19	6.385179022
20	6.258468954
21	6.150219432
22	6.039331363
23	5.94989059
24	5.858532721
25	5.776267888
26	5.699460413
27	5.618699126
28	5.537980978
29	5.445349566
30	5.352064882
31	5.27856944
32	5.216731707
33	5.14825069
34	5.083424001
35	5.019877926
36	4.958004641
37	4.897181824
38	4.832634485
39	4.769565954
40	4.713845635
41	4.644305014
42	4.600812668
43	4.554519984
44	4.508639363
45	4.445617974
46	4.403396346
47	4.350400656
48	4.305184173
49	4.263153357
50	4.212752633
51	4.176175642
52	4.123358477
53	4.090767291
54	4.047270787
55	4.014998028
56	3.987370181
57	3.952369145
58	3.921100904
59	3.88538842
60	3.848916281
61	3.811469975
62	3.787684203
63	3.746755288
64	3.711977056
65	3.677958987
66	3.643115608
67	3.61796538
68	3.593453536
69	3.571394603
70	3.535969941
71	3.498433184
72	3.47556268
73	3.445257525
74	3.418493458
75	3.390410179
76	3.36500379
77	3.330164057
78	3.309791943
79	3.291563152
80	3.270348106
81	3.248126941
82	3.22208611
83	3.202463902
84	3.179820202
85	3.160877636
86	3.145443818
87	3.121992194
88	3.10018371
89	3.081826885
90	3.064662454
91	3.04717806
92	3.034206251
93	3.010112298
94	2.991600911
95	2.979968474
96	2.970345454
97	2.955170092
98	2.942556515
99	2.930940977
100	2.918208243
101	2.901514692
102	2.88836977
103	2.871022961
104	2.861503742
105	2.847985097
106	2.832399506
107	2.815835173
108	2.801548865
109	2.788605585
110	2.775013944
111	2.76366917
112	2.746121713
113	2.734483634
114	2.724427164
115	2.714180129
116	2.70058666
117	2.690022434
118	2.680542723
119	2.673318411
120	2.660823778
121	2.652114509
122	2.644606205
123	2.637072457
124	2.627058955
125	2.617745528
126	2.604426965
127	2.59643077
128	2.58621418
129	2.576713012
130	2.567176926
131	2.559645959
132	2.548849759
133	2.541623286
134	2.534228332
135	2.522222582
136	2.514693435
137	2.505529378
138	2.493330711
139	2.485266847
140	2.476197353
141	2.469632406
142	2.463968111
143	2.453755811
144	2.441539802
145	2.431849604
146	2.425389738
147	2.417694482
148	2.411478661
149	2.405355122
150	2.394598201
151	2.38723009
152	2.382299343
153	2.375775377
154	2.367107771
155	2.358712845
156	2.34922204
157	2.341094051
158	2.333917366
159	2.326334124
160	2.317305183
161	2.311434488
162	2.306315446
163	2.299256477
164	2.294220663
165	2.285092602
166	2.279584571
167	2.272808014
168	2.267570459
169	2.257511591
170	2.249802628
171	2.246086743
172	2.241374393
173	2.233296697
174	2.227363888
175	2.220428927
176	2.212506049
177	2.207661039
178	2.200062365
179	2.193175927
180	2.1840681
181	2.178200904
182	2.170579975
183	2.163485745
184	2.156519449
185	2.149536882
186	2.145466472
187	2.138282847
188	2.132564111
189	2.127435556
190	2.120599319
191	2.114226589
192	2.109265956
193	2.105130798
194	2.101111405
195	2.095006798
196	2.090739654
197	2.086244019
198	2.081365996
199	2.076820353
200	2.071882409
201	2.066347368
202	2.061341134
203	2.056700616
204	2.051289675
205	2.047778899
206	2.044095742
207	2.039101817
208	2.034441613
209	2.028886006
210	2.024684664
211	2.02074796
212	2.016086335
213	2.011032778
214	2.006280923
215	2.001874305
216	1.996641146
217	1.992225797
218	1.986857339
219	1.981878824
220	1.977169467
221	1.972538576
222	1.967772351
223	1.964227472
224	1.958735622
225	1.952384756
226	1.947668591
227	1.942215745
228	1.93697774
229	1.930815319
230	1.926787528
231	1.920465248
232	1.915571399
233	1.912220815
234	1.908035963
235	1.904264419
236	1.899327745
237	1.896519422
238	1.890202774
239	1.886568832
240	1.881364877
241	1.875401311
242	1.871148951
243	1.868867551
244	1.865696085
245	1.862122416
246	1.858872762
247	1.854027609
248	1.849350515
249	1.844651103
250	1.840535154
251	1.835590008
252	1.832527354
253	1.8285283
254	1.821536306
255	1.819692876
256	1.815564724
257	1.811015719
258	1.806089941
259	1.802243624
260	1.796534968
261	1.790969965
262	1.786035624
263	1.782705307
264	1.778223158
265	1.775933401
266	1.772308707
267	1.769955783
268	1.766190384
269	1.763300581
270	1.758827584
271	1.754868344
272	1.752463774
273	1.746602201
274	1.743721422
275	1.738478204
276	1.734479005
277	1.729984305
278	1.727578065
279	1.723693508
280	1.719090045
281	1.71522281
282	1.712494726
283	1.709045232
284	1.707364226
285	1.702806312
286	1.700466192
287	1.697861362
288	1.694492462
289	1.689436408
290	1.685663831
291	1.68129296
292	1.678668493
293	1.673330681
294	1.668647132
295	1.666387968
296	1.661844112
297	1.65766179
298	1.655073706
299	1.652845843
300	1.650486565
301	1.644817965
302	1.641621447
303	1.636439384
304	1.632260244
305	1.628392264
306	1.625224713
307	1.620681253
308	1.617686561
309	1.614329259
310	1.611067468
311	1.608277399
312	1.602910653
313	1.601267344
314	1.599338874
315	1.595531827
316	1.593472676
317	1.589666143
318	1.586860265
319	1.5848058
320	1.581289265
321	1.576837081
322	1.575371116
323	1.571442116
324	1.568212436
325	1.565193906
326	1.56061167
327	1.555086256
328	1.550978536
329	1.550133299
330	1.547364315
331	1.542948469
332	1.538512306
333	1.537707888
334	1.533781816
335	1.530170141
336	1.528182929
337	1.525073746
338	1.521497522
339	1.517788928
340	1.514308562
341	1.512438831
342	1.510398284
343	1.507717941
344	1.503602837
345	1.501248842
346	1.497821059
347	1.494624757
348	1.489215449
349	1.484869699
350	1.483380758
351	1.480208836
352	1.477262563
353	1.474472939
354	1.469807797
355	1.467713032
356	1.467087776
357	1.465742923
358	1.46222317
359	1.46095622
360	1.458823911
361	1.455058993
362	1.452243423
363	1.447342483
364	1.444099893
365	1.440988049
366	1.438101843
367	1.434493975
368	1.430539618
369	1.428933906
370	1.427288033
371	1.423134261
372	1.41941196
373	1.417566537
374	1.41558143
375	1.41495077
376	1.413085908
377	1.407340071
378	1.406121563
379	1.403336168
380	1.402548033
381	1.39955024
382	1.39806913
383	1.395882198
384	1.395340729
385	1.390891816
386	1.388520706
387	1.388072646
388	1.38369975
389	1.378592144
390	1.376854668
391	1.373826676
392	1.370314975
393	1.368662689
394	1.365816905
395	1.363343349
396	1.360859443
397	1.357285152
398	1.353888872
399	1.352210456
400	1.350675404
401	1.346764225
402	1.343826025
403	1.342947463
404	1.339243879
405	1.336684653
406	1.334372577
407	1.333145407
408	1.332652005
409	1.329553844
410	1.326410484
411	1.323261128
412	1.320815409
413	1.317572577
414	1.316468177
415	1.315838482
416	1.312307628
417	1.310910639
418	1.308247741
419	1.307317982
420	1.304868532
421	1.30206177
422	1.300838806
423	1.300423818
424	1.297372226
425	1.295638995
426	1.294177045
427	1.291779395
428	1.29035382
429	1.287234871
430	1.284512369
431	1.28273999
432	1.279998976
433	1.276723169
434	1.27309211
435	1.270819963
436	1.268093295
437	1.267489594
438	1.265087893
439	1.261831129
440	1.260884048
441	1.258983111
442	1.255197435
443	1.253025964
444	1.25150921
445	1.248600595
446	1.247932112
447	1.246813104
448	1.243983716
449	1.241706434
450	1.240454722
451	1.238556921
452	1.235646977
453	1.233735905
454	1.233060275
455	1.230587339
456	1.230139616
457	1.228451401
458	1.227036286
459	1.224610566
460	1.223924408
461	1.223567296
462	1.221815054
463	1.219807616
464	1.217117184
465	1.215307728
466	1.212263448
467	1.21001197
468	1.20709427
469	1.204752376
470	1.202822156
471	1.19957712
472	1.198612741
473	1.197407621
474	1.195237451
475	1.192729575
476	1.190067334
477	1.188716347
478	1.185939819
479	1.18475873
480	1.182790887
481	1.180743752
482	1.179929182
483	1.178999644
484	1.178083351
485	1.176417241
486	1.173765483
487	1.172907244
488	1.169680316
489	1.167683194
490	1.164339308
491	1.162642486
492	1.161063789
493	1.158512575
494	1.155863435
495	1.154517327
496	1.152437963
497	1.150389567
498	1.149902645
499	1.148297457
500	1.146849654
501	1.144289162
502	1.143169959
503	1.140768222
504	1.139701567
505	1.138669984
506	1.138031851
507	1.134953935
508	1.134130334
509	1.131908336
510	1.131330279
511	1.129661471
512	1.126657687
513	1.124782592
514	1.123286894
515	1.122475934
516	1.12115987
517	1.119788537
518	1.118047142
519	1.114604333
520	1.112301681
521	1.111236084
522	1.108826466
523	1.108351039
524	1.106697214
525	1.106260612
526	1.104402716
527	1.103023238
528	1.102045281
529	1.09985985
530	1.098554621
531	1.096490542
532	1.093779951
533	1.092325489
534	1.09073296
535	1.089008759
536	1.087373411
537	1.085403669
538	1.083356747
539	1.081626414
540	1.080165782
541	1.078809291
542	1.077059936
543	1.076748081
544	1.075122847
545	1.072691679
546	1.070136544
547	1.067601238
548	1.066167124
549	1.063886507
550	1.0617126
551	1.060664008
552	1.060321804
553	1.058125712
554	1.056039279
555	1.054026694
556	1.051427139
557	1.04953704
558	1.047828336
559	1.046186524
560	1.045257239
561	1.043611479
562	1.041519794
563	1.03982421
564	1.037944729
565	1.036279713
566	1.033753925
567	1.030941858
568	1.030118126
569	1.028579276
570	1.026854772
571	1.025856885
572	1.024463841
573	1.023078078
574	1.021727397
575	1.021273462
576	1.020182761
577	1.018807059
578	1.016640377
579	1.015578034
580	1.014107682
581	1.012242959
582	1.011364152
583	1.010008459
584	1.007946644
585	1.006157589
586	1.005116596
587	1.003631781
588	1.001576448
589	0.9999567669
590	0.9980720336
591	0.9965060838
592	0.9955232257
593	0.9943600059
594	0.9922559569
595	0.9913640902
596	0.9893942461
597	0.9887940544
598	0.987141558
599	0.9861132397
600	0.9852129463
601	0.983703491
602	0.9820953999
603	0.9812225458
604	0.9796052127
605	0.9787179772
606	0.9776911392
607	0.9760918941
608	0.9745387616
609	0.9735104444
610	0.9717326649
611	0.9705867981
612	0.9691780709
613	0.9682362438
614	0.9665587502
615	0.9651673626
616	0.9634951447
617	0.9624678657
618	0.9612856108
619	0.9595283253
620	0.9574664535
621	0.9560922467
622	0.9539569726
623	0.9527764068
624	0.9511378947
625	0.9492371973
626	0.947169587
627	0.9460037452
628	0.9453614118
629	0.9450297481
630	0.9437552912
631	0.942398616
632	0.9409851545
633	0.9389971509
634	0.9380836986
635	0.9368678871
636	0.9362328184
637	0.9343522959
638	0.9336587094
639	0.9331011067
640	0.9316261069
641	0.9314986277
642	0.9302728859
643	0.9285919122
644	0.9273786532
645	0.9250446577
646	0.9235176236
647	0.9223524395
648	0.9203976905
649	0.9192089996
650	0.9181223803
651	0.9169281311
652	0.9153034424
653	0.9136585785
654	0.91282922
655	0.9113687176
656	0.9100951048
657	0.908417503
658	0.9081477291
659	0.9071586791
660	0.9055620516
661	0.903733013
662	0.9020245522
663	0.9012672092
664	0.9003317513
665	0.9000895435
666	0.8987018968
667	0.8974079079
668	0.8961284901
669	0.8941234827
670	0.8928505048
671	0.8920065699
672	0.8910422002
673	0.8886630394
674	0.8876490091
675	0.886386054
676	0.8857236032
677	0.8845496899
678	0.8824302112
679	0.8810835916
680	0.8808535359
681	0.8786587476
682	0.8776759571
683	0.8766014226
684	0.8748709038
685	0.87370895
686	0.8731251042
687	0.8726219416
688	0.8712193171
689	0.8695861042
690	0.8683513859
691	0.8669737113
692	0.8661735395
693	0.8645202984
694	0.8636782799
695	0.8632804931
696	0.8613479138
697	0.8608268357
698	0.8591722474
699	0.8581363103
700	0.8572885821
701	0.8558096623
702	0.8543623292
703	0.8536218075
704	0.8530321207
705	0.8520248641
706	0.8511321929
707	0.8490159281
708	0.8480704476
709	0.8471759225
710	0.846650702
711	0.8461916939
712	0.8443014104
713	0.8439463623
714	0.8427307828
715	0.8414176711
716	0.8392971976
717	0.8387076826
718	0.837964984
719	0.8371367246
720	0.8366830078
721	0.8354188508
722	0.8349049115
723	0.8341262257
724	0.8330859575
725	0.832267236
726	0.8316657972
727	0.8300844559
728	0.829659791
